
file                                                                                            widthPx heightPx minPx label                  bounds               
----                                                                                            ------- -------- ----- -----                  ------               
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   179       80   144                        [96,1858][275,1938]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   197      186   144                        [441,2010][638,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   197      186   144                        [220,2010][417,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   197      186   144                        [883,2010][1080,2196]
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   215       80   144                        [299,1858][514,1938] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   888      192   144 30                     [96,1561][984,1753]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Coach.xml                                   888      192   144                        [96,1345][984,1537]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    197      186   144                        [883,2010][1080,2196]
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    197      186   144                        [441,2010][638,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    197      186   144                        [220,2010][417,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    261      144   144                        [96,1772][357,1916]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Meer.xml                                    888      144   144                        [96,1263][984,1407]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   174      144   144                        [858,205][1032,349]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   197      186   144                        [883,2010][1080,2196]
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   197      186   144                        [220,2010][417,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   197      186   144                        [441,2010][638,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   440      144   144                        [96,844][536,988]    
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Start.xml                                   888       35   144                        [96,1903][984,1938]  
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Training.xml                                196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-dynamic-color-loop\Training.xml                                197      186   144                        [441,2010][638,2196] 
